species-name,common-name,common-name-th,common-name-th2,genus,family,images,num-images,num-observations,,
Acacia farnesiana (L.) Willd.,sweet acacia,อะคาเซียหวาน,อะคาเซียหวาน,acacia,fabaceae,"['https://bs.plantnet.org/image/s/d33123bed7c09fb83ad3cc2c5832ad15647bfe39', 'https://bs.plantnet.org/image/s/8d86395deffd9de3f3cb4bcb5b5b783973270a9e', 'https://bs.plantnet.org/image/s/27d5f6632216b77d865790b5411b1dad730a5339', 'https://bs.plantnet.org/image/s/83fbe02d885c75897e36639566f69702f9a94211', 'https://bs.plantnet.org/image/s/95acdf471829bbb820eff8b4f15e854ee811c95e', 'https://api.plantnet.org/v1/gbif/2979257/map.png']",1017,699,,
Acacia longifolia (Andrews) Willd.,golden wattle,เหนียงสีทอง,ทองคำ,acacia,fabaceae,"['https://bs.plantnet.org/image/s/b06baa642fb756b3c1802965ce05d50300df18b0', 'https://bs.plantnet.org/image/s/37c5dbbe02c5ffec71b47c2f3b26d6ba7d20965b', 'https://bs.plantnet.org/image/s/eeaa45ed6763b940e7dff2827365153b7d55f352', 'https://bs.plantnet.org/image/s/0f01b41c4ab98ad86e1ac225993de42e2ad5f7af', 'https://bs.plantnet.org/image/s/ec1bfe4e9b3a3f938086caf60c9c85f557cec4e1', 'https://api.plantnet.org/v1/gbif/2978730/map.png']",LC,1217,,
Acacia mangium Willd.,black wattle,เหนียงสีดำ,สีดำสั่น,acacia,fabaceae,"['https://bs.plantnet.org/image/s/aea18374a7ced2339b3be6b9250b85d68edd006b', 'https://bs.plantnet.org/image/s/9930a65bf8fcfa5baaa11dbb9260751a48b8945b', 'https://bs.plantnet.org/image/s/addc07ab5c90887c5744fbd155c04e8632de4781', 'https://bs.plantnet.org/image/s/ea45662c8707518c6ad4cf42b16682457fce2a23', 'https://bs.plantnet.org/image/s/b7871735504db0de2c96d52f89a4a408ef3f84a6', 'https://api.plantnet.org/v1/gbif/2979091/map.png']",LC,314,,
Acacia mearnsii De Wild.,black wattle,เหนียงสีดำ,สีดำสั่น,acacia,fabaceae,"['https://bs.plantnet.org/image/s/997730b39fd8e5d72c4d17ff1c10fba35d3fdf16', 'https://bs.plantnet.org/image/s/b1f4e98a11bf435ec68bf6e1139e319586942c8c', 'https://bs.plantnet.org/image/s/9d9fbf0c9e82f58a6ed96705948a7f2ce21ab08f', 'https://bs.plantnet.org/image/s/53a633e18081e4658d9e5262131e20d302119c2d', 'https://bs.plantnet.org/image/s/a1d5c0a4ed8ee67cb4629d22e938dae9dc78a45d', 'https://api.plantnet.org/v1/gbif/2979775/map.png']",1215,753,,
Acacia muricata (L.) Willd.,spineless wattle,เหนียงไร้กระดูกสันหลัง,Wattle ที่ไม่มีกระดูกสันหลัง,acacia,fabaceae,"['https://bs.plantnet.org/image/s/2f49671967a9b1b9557da8da868c849d602208cf', 'https://bs.plantnet.org/image/s/268bee0ace9c4e1210f39018fec6e5701bb25b4a', 'https://bs.plantnet.org/image/s/49dfda91605e5140ee137d00e52b21cf9efafe7e', 'https://bs.plantnet.org/image/s/ef4518c9469a431a2c73b40ea987a32915410c3f', 'https://bs.plantnet.org/image/s/240fc002703577b3856dd15608a2ac9c2cc34e8f', 'https://api.plantnet.org/v1/gbif/2980244/map.png']",41,20,,
Acacia nilotica (L.) Delile,gum arabic tree,ต้นหมากฝรั่งอาหรับ,ต้นไม้อาหรับ,acacia,fabaceae,"['https://bs.plantnet.org/image/s/e8d7420edfa030e59fd2bf326366a2b0e382cc68', 'https://bs.plantnet.org/image/s/1eb4b737cd1f4a9a441de6b29c1bc885c4f6174c', 'https://bs.plantnet.org/image/s/95e70b9070f6630cd11be46df30f536752a21928', 'https://bs.plantnet.org/image/s/e6789deec83dc345b83ed6878456ba778be6685f', 'https://api.plantnet.org/v1/gbif/2978421/map.png']",4,1,,
Acacia pycnantha Benth.,australian golden wattle,เหนียงทองคำออสเตรเลีย,น้ำทองคำของออสเตรเลีย,acacia,fabaceae,"['https://bs.plantnet.org/image/s/d89da8a1313ff4a778ca2741181c496384c44386', 'https://bs.plantnet.org/image/s/dba6e08dca75e1763f661dc14f3c7d04ff83b566', 'https://bs.plantnet.org/image/s/fb65233360aa2c9aa576da1e330d878bcfd15e2f', 'https://bs.plantnet.org/image/s/ec5838c4c78d44d5706e2fe75bb3963548fd7ce0', 'https://bs.plantnet.org/image/s/cd05f3264385dd8ebc3a262d26dfff6a6c982f2d', 'https://api.plantnet.org/v1/gbif/2978604/map.png']",LC,439,,
Acalypha australis L.,asian copperleaf,ทองแดงเอเชีย,Copperleaf เอเชีย,acalypha,euphorbiaceae,"['https://bs.plantnet.org/image/s/16574126ee71bee41358beb090d93cfdd601e198', 'https://bs.plantnet.org/image/s/e9439d507189c7c65c9e0dcef56ca79f2b9bccfd', 'https://bs.plantnet.org/image/s/403d0fa8b2b030d6eb0ce2dbe71d3362f006defe', 'https://bs.plantnet.org/image/s/f8789cc95d9744c3f3040c765ad658b33a13d8b7', 'https://bs.plantnet.org/image/s/e2d797e8f05b2de4415940865d733b5a9198e75d', 'https://api.plantnet.org/v1/gbif/3056835/map.png']",59,33,,
Acalypha caturus Blume,,,,acalypha,euphorbiaceae,"['https://bs.plantnet.org/image/s/f02b12dbe88e4fc75eeea8b10b492d88f000e047', 'https://bs.plantnet.org/image/s/049d41de9e4fef069cf6dac50232062a33da529d', 'https://bs.plantnet.org/image/s/7cf3002e8308bd2aed8732f0d0a20938bfb588a0', 'https://bs.plantnet.org/image/s/50b14c7a5fd3439aabbbc523d078fdca5fd71241', 'https://api.plantnet.org/v1/gbif/3057069/map.png']",LC,4,,
Acalypha grandis Benth.,,,,acalypha,euphorbiaceae,"['https://bs.plantnet.org/image/s/b3c1bdaff9fc39ecb165656560e3aa64ee3a8327', 'https://api.plantnet.org/v1/gbif/3056864/map.png']",LC,1,,
Acalypha hispida Burm.f.,red-hot cat's tail,หางแมวแดงร้อน,หางแมวร้อนแดง,acalypha,euphorbiaceae,"['https://bs.plantnet.org/image/s/e601b52c471b46ce08c245ef0771ca7f83b188ef', 'https://bs.plantnet.org/image/s/7171a2286a4afeee8ed3555a7c63d174b61e89ce', 'https://bs.plantnet.org/image/s/81ae40c6fe12ddc38b2c9792cce6ef1628bbbca3', 'https://bs.plantnet.org/image/s/31769d8af68b2ca2ebb4d2150a8120e02ea215a2', 'https://bs.plantnet.org/image/s/b1ba042104e970bc97c8db34637d0665df07ba99', 'https://api.plantnet.org/v1/gbif/3056375/map.png']",1350,1038,,
Acalypha indica L.,indian acalypha,อะคาลิฟาอินเดีย,Acalypha อินเดีย,acalypha,euphorbiaceae,"['https://bs.plantnet.org/image/s/55c483a8915254ba041d19058a4bfa8eac315f64', 'https://bs.plantnet.org/image/s/4e0225169c4511d5eb006e518af6a1a267f4fd2f', 'https://bs.plantnet.org/image/s/2758db5333af728a3a7095558f3ab95ff413e6b7', 'https://bs.plantnet.org/image/s/d0e79d804cc4236487abbc1af9aa6e30e17239ca', 'https://bs.plantnet.org/image/s/df02c050f0a673d905e07ceb6288542e49e6a0ea', 'https://api.plantnet.org/v1/gbif/3056259/map.png']",346,284,,
Acalypha lanceolata Willd.,,,,acalypha,euphorbiaceae,"['https://bs.plantnet.org/image/s/7adde9d7ff5cb18449ab0af9fa262c34b0d17d6a', 'https://bs.plantnet.org/image/s/c6edb4ec6889e7678e01705cab652348a38a2c50', 'https://api.plantnet.org/v1/gbif/3056367/map.png']",2,1,,
Acalypha siamensis Oliv. ex Gage,wild tea,ชาป่า,ชาป่า,acalypha,euphorbiaceae,"['https://bs.plantnet.org/image/s/e342387f572bafacbbc09cd43c2b1772cc323cab', 'https://bs.plantnet.org/image/s/68f41b40fd9f13d87b953a12feabadf6f89f8d33', 'https://bs.plantnet.org/image/s/c15b285930f817e48a792c36f14e002a0830696a', 'https://bs.plantnet.org/image/s/7405e5aeccc4aa2f3a3b74489c3e7923c788fb97', 'https://bs.plantnet.org/image/s/bf022ce8579bdd3afbbd7f499b88047867fa5fbf', 'https://api.plantnet.org/v1/gbif/3056042/map.png']",41,25,,
Acalypha wilkesiana Müll.Arg.,copper leaf,ใบทองแดง,ใบทองแดง,acalypha,euphorbiaceae,"['https://bs.plantnet.org/image/s/a9c1fe17577ee305b27a44214e7e6321d61f327d', 'https://bs.plantnet.org/image/s/8c122a3fe927e76d4b46791935df3fad71ba060a', 'https://bs.plantnet.org/image/s/8c122a3fe927e76d4b46791935df3fad71ba060a', 'https://bs.plantnet.org/image/s/c3e2c2c7c3e24d7c5f281283d1805a9a0d13c6a8', 'https://bs.plantnet.org/image/s/a1c679fcb73ca511296f2bd73b492aee62bc6cd3', 'https://api.plantnet.org/v1/gbif/3057221/map.png']",LC,2695,,
Acanthus ilicifolius L.,mangrove-holly,ป่าชายเลน-ฮอลลี่,ป่าโกงกาง,acanthus,acanthaceae,"['https://bs.plantnet.org/image/s/2f212d9601ce38739c4c0cf1439c561f2325371b', 'https://bs.plantnet.org/image/s/97909faeb775fce396eff4685cfd3a46aa7f4aaf', 'https://bs.plantnet.org/image/s/76ee0522d3193dcee010379e382573430277c8c9', 'https://bs.plantnet.org/image/s/131201dd94f8f5df44b60f69221d59d9d773ea02', 'https://bs.plantnet.org/image/s/9d81f5b1254895724e558185b5a351fc88cdb285', 'https://api.plantnet.org/v1/gbif/6359819/map.png']",LC,79,,
Achillea millefolium L.,common yarrow,ยาร์โรว์ทั่วไป,ยาร์โรว์ทั่วไป,achillea,asteraceae,"['https://bs.plantnet.org/image/s/8bddbe52dda45ac6aab8e3e50154ececf363ae06', 'https://bs.plantnet.org/image/s/a3aee3060ce9403defc3cb2e980117db5a9ddfec', 'https://bs.plantnet.org/image/s/170695ea435ac54015fe2d711d2ecad375fbd4d8', 'https://bs.plantnet.org/image/s/30b06c41f0e4d42e5aa22b527e0af57e7d90c728', 'https://bs.plantnet.org/image/s/485ebbc118e80ba843fae0207c8ba98a3d60897b', 'https://api.plantnet.org/v1/gbif/3120060/map.png']",LC,26336,,
Achyranthes aspera L.,devil’s horsewhip,แส้ม้าของปีศาจ,การขี่ม้าของปีศาจ,achyranthes,amaranthaceae,"['https://bs.plantnet.org/image/s/f707a8d640ebefb067346d6664d601f7a3529998', 'https://bs.plantnet.org/image/s/f0fd1d0230062a5dcab68e69af936a83842af126', 'https://bs.plantnet.org/image/s/cf43312a8257c3d0f1dd40d281212b1d414f9884', 'https://bs.plantnet.org/image/s/2cfc3856a80bea352aa92f3373072b058e8dce6e', 'https://bs.plantnet.org/image/s/143de613b78db1a231ed955257b0fdc085358a7d', 'https://api.plantnet.org/v1/gbif/3085168/map.png']",1131,769,,
Achyranthes bidentata Blume,pig's knee,เข่าหมู,เข่าหมู,achyranthes,amaranthaceae,"['https://bs.plantnet.org/image/s/5a75a03ba014c553e8ac6eebbebe4b0b06f59c60', 'https://bs.plantnet.org/image/s/2509e9e13e393ca62e0613218990e80df88f5a40', 'https://bs.plantnet.org/image/s/0c391be9b53d1c15aa566b3cd312eb2d6f9e41a7', 'https://bs.plantnet.org/image/s/b22661dc6cb5bd0d9368476bfda9c5b72f513b62', 'https://bs.plantnet.org/image/s/970f4c382f974549b276ecf94c868727c03f50ce', 'https://api.plantnet.org/v1/gbif/3085175/map.png']",33,27,,
Acorus calamus L.,sweet-flag,ธงหวาน,ความหวาน,acorus,acoraceae,"['https://bs.plantnet.org/image/s/2d344b84d457238102c6f9a9711516b8f86e7899', 'https://bs.plantnet.org/image/s/df54d0071e91b86264c9eb13e0e7caad29c86bcb', 'https://bs.plantnet.org/image/s/5cf83b2f2b1d684ea101d0b4c82f47e3c462135b', 'https://bs.plantnet.org/image/s/4458739f4c7c2ce5fff96f12d7d7f79b5bab3a86', 'https://bs.plantnet.org/image/s/dee27d06c7648de5e7c7defc5e76bc71a3afe082', 'https://api.plantnet.org/v1/gbif/2873769/map.png']",LC,789,,
Acronychia pedunculata (L.) Miq.,lakawood,ลากะวูด,ลาคาวูด,acronychia,rutaceae,"['https://bs.plantnet.org/image/s/2637a00c665dc90ca126f08b59850c6a3b043666', 'https://bs.plantnet.org/image/s/acb66fa660d491c1e23282485d61b1b5d2fcbae0', 'https://bs.plantnet.org/image/s/4d34ae5c9f0cee28784c20089635a451d7691767', 'https://bs.plantnet.org/image/s/ad03d5caf59b9738308747b29d64c4dedf693570', 'https://api.plantnet.org/v1/gbif/3836457/map.png']",LC,4,,
Acrostichum aureum L.,leather fern,หนังเฟิร์น,เฟิร์นหนัง,acrostichum,pteridaceae,"['https://bs.plantnet.org/image/s/9d9c8b3ee035bab76eb0c571ddb9368864c3ae61', 'https://bs.plantnet.org/image/s/4b2ce396ce4f7cb64d4a1b16ff4bca5b681c3aa8', 'https://bs.plantnet.org/image/s/b62c6855e4938bed57ce7f2d4ee8878394877621', 'https://bs.plantnet.org/image/s/127dc7e7425ed22d80bc561232b3ece7c7c2c2a7', 'https://bs.plantnet.org/image/s/c9acd22513ec5b195c1c6a0825ebb03b1b47a09b', 'https://api.plantnet.org/v1/gbif/2651706/map.png']",LC,351,,
Acrotrema costatum Jack,,,,acrotrema,dilleniaceae,"['https://bs.plantnet.org/image/s/38848a91ccf7266ddc4c1d6bca8dbf930e9410b8', 'https://bs.plantnet.org/image/s/faa39611de0d5788650a52dd60bfa3faf03a1984', 'https://bs.plantnet.org/image/s/a1ccb53a30bc2160c861ad6f52bf06aa6c7b9ed2', 'https://bs.plantnet.org/image/s/80f48ec20e7f544cb3e2aa096a9d6b1e9c0a5c62', 'https://bs.plantnet.org/image/s/a09badf0c1aee3d38ba58e405878377f30f19a78', 'https://api.plantnet.org/v1/gbif/7958681/map.png']",9,7,,
Actinodaphne glomerata (Blume) Nees,,,,actinodaphne,lauraceae,"['https://bs.plantnet.org/image/s/686ee12a3baef9d4107e211993e77d1b6bd57500', 'https://api.plantnet.org/v1/gbif/4177686/map.png']",LC,1,,
Actinodaphne pruinosa Nees,,,,actinodaphne,lauraceae,"['https://bs.plantnet.org/image/s/ec896b3bf54eb08246143f99f2e969e251c60565', 'https://api.plantnet.org/v1/gbif/4177012/map.png']",LC,1,,
Actinorhytis calapparia (Blume) H.Wendl. & Drude ex Scheff.,calappa palm,ฝ่ามือคาลัปปา,ฝ่ามือ Calappa,actinorhytis,arecaceae,"['https://bs.plantnet.org/image/s/22290cae809001e68ce9c6d7b1dbd2e9d72c1ffd', 'https://api.plantnet.org/v1/gbif/2735548/map.png']",LC,1,,
Adansonia digitata L.,baobab tree,ต้นเบาบับ,ต้น Baobab,adansonia,malvaceae,"['https://bs.plantnet.org/image/s/fd2f775a436edfa55f7125c8093b248035a9a929', 'https://bs.plantnet.org/image/s/1241eebc5b88b9e3c7fa5b8239fc846d79c95da3', 'https://bs.plantnet.org/image/s/d45445367bb1057a486ba105e1d5762f189730e3', 'https://bs.plantnet.org/image/s/099db8b58de2ca502fd289227ccf13c99509a3c8', 'https://bs.plantnet.org/image/s/2683971d9684ba1c68819662af8cfbc0b3887ad7', 'https://api.plantnet.org/v1/gbif/5406695/map.png']",847,580,,
Adenanthera microsperma Teijsm. & Binn.,acacia coral,ปะการังอะคาเซีย,ปะการัง Acacia,adenanthera,fabaceae,"['https://bs.plantnet.org/image/s/e479241692c70a2fa3a98808f3d05a92ffc69fc7', 'https://api.plantnet.org/v1/gbif/2951851/map.png']",LC,1,,
Adenanthera pavonina L.,coralwood,ไม้คอรัล,ป่าไม้,adenanthera,fabaceae,"['https://bs.plantnet.org/image/s/be739b31b143a839d3687162b0bf2ccad2774979', 'https://bs.plantnet.org/image/s/a84d3323611bf749c32f9a12302d4b00035ee5f3', 'https://bs.plantnet.org/image/s/d2f3ad6727ed7da81f28642047abce7e77b3a0b7', 'https://bs.plantnet.org/image/s/716b6a93e74aad912ca3ca45977264d4837d25eb', 'https://bs.plantnet.org/image/s/8858a507930eb3dd927b3bbf619dd39c46e14344', 'https://api.plantnet.org/v1/gbif/2951846/map.png']",LC,340,,
Adenia heterophylla (Blume) Koord.,,,,adenia,passifloraceae,"['https://bs.plantnet.org/image/s/85c2bdf597c076e156f1923fbd151df9486f4fe4', 'https://bs.plantnet.org/image/s/43f54fbf745170f903bda5d62c92584ff47898a2', 'https://bs.plantnet.org/image/s/1babcaf4c6731009e4576a23183e38474b70192e', 'https://bs.plantnet.org/image/s/38d1e0cd463bb15141f7cd0debc1ae1102259754', 'https://api.plantnet.org/v1/gbif/7313459/map.png']",4,4,,
Adenia penangiana (Wall. ex G.Don) W.J.de Wilde,,,,adenia,passifloraceae,"['https://bs.plantnet.org/image/s/a4c9cb532cfcb4d9cf4609aaf12fd02cc3bcf356', 'https://api.plantnet.org/v1/gbif/7313383/map.png']",1,1,,
Adenostemma viscosum J.R.Forst. & G.Forst.,common medicineplant,พืชยาสามัญ,ยารักษาโรคสามัญ,adenostemma,asteraceae,"['https://bs.plantnet.org/image/s/cb9b68062dff902860ef13853d19a663cf3d6593', 'https://bs.plantnet.org/image/s/ddc38dc00f567d70d117df192942c5f009a2f655', 'https://bs.plantnet.org/image/s/7858b6dd25f73247802c3e83a8293bfe2b94f872', 'https://api.plantnet.org/v1/gbif/3094604/map.png']",LC,3,,
Adinandra integerrima T.Anderson ex Dyer,samak,สีแทน,คนมาค,adinandra,pentaphylacaceae,"['https://bs.plantnet.org/image/s/60d8a00345a4b749bd96e4295a746d1463b9469b', 'https://api.plantnet.org/v1/gbif/3591994/map.png']",LC,1,,
Aeginetia indica L.,ye gu,ใช่แล้ว,ใช่มั้ย,aeginetia,orobanchaceae,"['https://bs.plantnet.org/image/s/0a561cb276c0d2b61913503b529844257c99ab7c', 'https://bs.plantnet.org/image/s/c14a91d9eddd0670c61dfe11579b88f011ad3a83', 'https://bs.plantnet.org/image/s/ff09741b11aa66466e1d2d1c0c3e9d18e6da8dd4', 'https://bs.plantnet.org/image/s/e20a266277deb92b62f65c795d3450517a6948c1', 'https://bs.plantnet.org/image/s/8be6b2d7e6e064283de20d3ab3904feb0cbdffeb', 'https://api.plantnet.org/v1/gbif/3173321/map.png']",LC,22,,
Aegle marmelos (L.) Corrêa,indian bael,มะตูมอินเดีย,Bael อินเดีย,aegle,rutaceae,"['https://bs.plantnet.org/image/s/c3d060d557f2c25f359b619f7d12d0ecce1f3696', 'https://bs.plantnet.org/image/s/a0192dfa21fc93ff4d77466da1aecb70d6c6afcd', 'https://bs.plantnet.org/image/s/0b67bd6754f1e0aded6e3e4f82d0d03fe6f72772', 'https://bs.plantnet.org/image/s/927b0f22f52f98e8df24ec6705ce8a46cfa360bd', 'https://bs.plantnet.org/image/s/adf4d2e6f6ca9d71969068f6ed431df2971a64bf', 'https://api.plantnet.org/v1/gbif/5421195/map.png']",NT,218,,
Aerva lanata (L.) Juss.,polpala,โพลปาลา,polpala,aerva,amaranthaceae,"['https://bs.plantnet.org/image/s/c9eb3264a130335da0c0eb434c7b06a438e683e9', 'https://bs.plantnet.org/image/s/ec1d58dc37f1520fc5da42812f5f75169f384aa8', 'https://bs.plantnet.org/image/s/858bf11e70197ad667bdd208d20139fb357ada70', 'https://bs.plantnet.org/image/s/b6b5fffd9b0e026a2707a25c1947fe3009c0b97d', 'https://bs.plantnet.org/image/s/d841b345e5ff9e91c794d36297cda884dce16d62', 'https://api.plantnet.org/v1/gbif/7618352/map.png']",6,3,,
Aerva sanguinolenta (L.) Blume,,,,aerva,amaranthaceae,"['https://bs.plantnet.org/image/s/81243b5a58bffa3d3d4c8168310387fc7f37e33c', 'https://bs.plantnet.org/image/s/6977763a6f3703b82758309788b1af9eb9720dcf', 'https://bs.plantnet.org/image/s/6f96a37c021b928c19476d9fda107c4fafcf8d3e', 'https://bs.plantnet.org/image/s/b6bf5d7e13c5cb8712bdb976dd84de03fcfb66f8', 'https://api.plantnet.org/v1/gbif/7323370/map.png']",4,2,,
Aeschynanthus longicaulis Wall. ex R.Br.,zebra basketvine,ตะกร้าม้าลาย,ม้าลาย,aeschynanthus,gesneriaceae,"['https://bs.plantnet.org/image/s/f9b56857b2a8c7ef983af8f2875dfdc68d6ee395', 'https://bs.plantnet.org/image/s/e586b46a305d4f739d4afb2189dc14c4c27b8a04', 'https://bs.plantnet.org/image/s/a84c742e639b5ac0c860d87765ab2529c9ce453c', 'https://bs.plantnet.org/image/s/c24f589d9c2140b2deca321a8d196fe03a5dbcb3', 'https://bs.plantnet.org/image/s/f6d4b6114ef15a99466e027a9299e42fa71cdffb', 'https://api.plantnet.org/v1/gbif/3825597/map.png']",175,139,,
Aeschynanthus radicans Jack,lipstickplant,ลิปสติกพืช,ลิปสติก,aeschynanthus,gesneriaceae,"['https://bs.plantnet.org/image/s/0967c1ef76a201749976ca6e73793b3e984e6874', 'https://bs.plantnet.org/image/s/d89148c5cb3de39cf8183489eb30026a48992b52', 'https://bs.plantnet.org/image/s/a75244458abc00969c1f0aaaa482b7aece992e4b', 'https://bs.plantnet.org/image/s/4b55da4dc819247e1d0821e1d657db9b8e5be29f', 'https://bs.plantnet.org/image/s/d121fabc3831c874a4752180225f613fac20f21f', 'https://api.plantnet.org/v1/gbif/3824774/map.png']",1360,1134,,
Aeschynomene americana L.,joint-vetch,ร่วม vetch,การร่วมกัน,aeschynomene,fabaceae,"['https://bs.plantnet.org/image/s/2369d732dc57a0daf92694bd8f657134c9d304f4', 'https://bs.plantnet.org/image/s/2f2c0c25df4370419db457b56cb5799311c30e0d', 'https://bs.plantnet.org/image/s/b72d118070dbba515d14179364c45df605b89458', 'https://bs.plantnet.org/image/s/2e75c2560a777428d9e1a9fe471c0198849bcc6e', 'https://bs.plantnet.org/image/s/920ad86b13d647c655557c0f635e67b4eb24dedd', 'https://api.plantnet.org/v1/gbif/2949235/map.png']",189,107,,
